jobIdd,RONUmber,clientId,howHeardOfUs,createdBy,createdAt,updatedAt,isArchived,vin,licensePlate,platePhoto,vehicleYear,vehicleMake,vehicleModel,vehicleSubModel,vehicleTrim,vehicleColor,vehicleMileageIn,vehicleMileageOut,dropOffDateTime,pickupReadyAt,estimatedCompletionDate,deliveredAt,taggedServiceLocation,taggedServiceAddress,leadSource,roInv,salesManNames,upSellNames,PreWorkMediaNotes,PostWorkMediaNotes,isBirdDroppings,isPaintChips,isDeepScratch,isClearcoatFail,isDents,isGlassChip,isGlassScratch,isCurbRash,isWheelDamage,isDamagePaintTransfer,damageOtherNotes,categoriesRequested,categoriesRemaining,isPaintEmblemsColor,isNonRefundableDeposit,nonRefundableDepositAmount,nonRefundableDepositInt,paymentMethod,invoiceStatus,isInvoicePaid
NCB-20251006-00001,,cid-0000001,,sarahmarie@nashvilleclearbra.com,10/6/2025 12:44:00,10/6/2025 12:44:00,,WBA73DA0XTCV92566,QCY498G,,2026,BMW,M4,BASE,,Green,0,,10/6/2025 9:15:00,,10/08/2025 06:00 PM,,,,Phone Inquiry,1785,NONE,NONE,,,,,,,,,,,,,,PPF,,,,,,,,
NCB-20251006-00002,,cid-0000002,,sarahmarie@nashvilleclearbra.com,10/6/2025 12:53:00,10/6/2025 12:53:00,,WA1CWBF15MD011429,299BHBS,,2021,Audi,SQ8,BASE,,Black,0,,10/6/2025 9:15:00,,10/06/2025 06:00 PM,,,,Phone Inquiry,1786,NONE,NONE,,,,,,,,,,,,,,PPF,,,,,,,,
NCB-20251006-00003,,cid-0000003,,sarahmarie@nashvilleclearbra.com,10/6/2025 14:18:00,10/6/2025 14:18:00,,WVAPDBF2XRN903492,DXS2812,,2024,Audi,RS 7,BASE,,Blue,0,,10/6/2025 10:00:00,,10/13/2025 06:00 PM,,,,Phone Inquiry,1787,NONE,NONE,,,,,,,,,,,,,,"PPF , TINT , WPF",,,,,,,,
NCB-20251006-00004,,cid-0000004,,sarahmarie@nashvilleclearbra.com,10/6/2025 15:18:00,10/6/2025 15:18:00,,ZHWUB6ZF1RLA28014,NODEGRE,,2024,Lamborghini,Huracán,Tecnica,,White,0,,10/6/2025 9:15:00,,10/09/2025 05:00 PM,,,,Previous Client,1789,NONE,NONE,,,,,,,,,,,,,,"PPF , TINT",,,,,,,,
NCB-20251008-00001,,cid-0000005,,sarahmarie@nashvilleclearbra.com,10/8/2025 14:23:00,10/8/2025 14:23:00,,7SAXCBE66TF474784,SV3036,,2025,Tesla,Model X,BASE,,White,0,,10/8/2025 9:00:00,,10/08/2025 06:00 PM,,,,Tesla Referral Program,0,NONE,NONE,,,,,,,,,,,,,,TINT,,,,,,,,
NCB-20251009-00001,,cid-0000006,,sarahmarie@nashvilleclearbra.com,10/9/2025 10:00:00,10/9/2025 10:00:00,,7SAYGDEEYTF425793,T535864,,2026,Tesla,Model Y,BASE,,White,0,,10/9/2025 9:15:00,,10/10/2025 06:00 PM,,,,Phone Inquiry,1792,NONE,NONE,,,,,,,,,,,,,,"PPF , TINT",,,,,,,,
NCB-20251013-00001,,cid-0000007,,sarahmarie@nashvilleclearbra.com,10/13/2025 9:41:00,10/13/2025 9:41:00,,19UDE5G94SA001672,249CEV,,2025,Acura,RSX,BASE,,Silver,0,,10/10/2025 16:00:00,,10/13/2025 06:00 PM,,,,Phone Inquiry,1790,NONE,NONE,,,,,,,,,,,,,,PPF,,,,,,,,
NCB-20251013-00002,,cid-0000008,,sarahmarie@nashvilleclearbra.com,10/13/2025 9:54:00,10/13/2025 9:54:00,,7SAYGDED2TA497687,Q6PDGGY,,2026,Tesla,Model Y,BASE,,Silver,0,,10/13/2025 9:15:00,,10/13/2025 04:00 PM,,,,Tesla Referral Program,1794,NONE,NONE,,,,,,,,,,,,,,TINT,,,,,,,,
NCB-20251013-00003,,cid-0000009,,sarahmarie@nashvilleclearbra.com,10/13/2025 15:48:00,10/13/2025 15:48:00,,5UX33DT05S9223493,xoxo,,2025,BMW,X4,M40i,,White,0,,10/13/2025 13:30:00,,10/14/2025 06:00 PM,,,,Phone Inquiry,1795,NONE,NONE,,,,,,,,,,,,,,PPF,,,,,,,,
NCB-20260218-00001,,cid-0000013,,admin@aivisualpro.com,2/18/2026 17:55:23,2/18/2026 17:55:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CERAMIC , PPF , TINT",,,,,,,,
NCB-20260219-00001,,cid-0000036,,admin@aivisualpro.com,2/19/2026 23:49:00,2/19/2026 23:49:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CERAMIC , PPF , VINYL , WPF",,,,,,,,
NCB-20260305-00002,,cid-0000013,,admin@aivisualpro.com,3/5/2026 3:22:00,3/10/2026 22:13:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CERAMIC , PPF",,,,,,,,
NCB-20260326-00002,,cid-0000087,,admin@aivisualpro.com,3/26/2026 21:26:00,4/13/2026 23:00:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PPF , TINT",,,TRUE,100,Jobs_Images/JOBS_38ee5265.nonRefundableDepositInt.180042.png,Cash,Signed,TRUE
